idna_subject,checker_type,destination,tested_at
ro1ro.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:04:27.811885
lrytaslt.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:04:35.744865
s1.gojobsru.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:04:43.689578
gratkapl.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:04:51.702918
obozua.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:04:59.947497
s1.gratkapl.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:05:07.848242
gspro.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:05:15.663521
intactro.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:05:23.610560
investorbg.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:05:33.509563
s1.delfilt.adocean.pl,AVAILABILITY,origin.list,2021-05-11 13:05:41.475555
ua.cnt.gemius.pl,AVAILABILITY,origin.list,2021-05-11 13:05:53.873068
counter.gemius.pl,AVAILABILITY,origin.list,2021-05-11 13:06:01.986892
adserwer.intercon.pl,AVAILABILITY,origin.list,2021-05-11 13:06:13.761076
code.new.smartcontext.pl,AVAILABILITY,origin.list,2021-05-11 13:06:23.365401
bbcdn.code.new.smartcontext.pl,AVAILABILITY,origin.list,2021-05-11 13:06:31.805816
show.smartcontext.pl,AVAILABILITY,origin.list,2021-05-11 13:06:41.169509
ad2.pl.mediainter.net,AVAILABILITY,origin.list,2021-05-11 13:06:51.613437
ads2.rp.pl,AVAILABILITY,origin.list,2021-05-11 13:06:59.795339
ads.clickad.com.pl,AVAILABILITY,origin.list,2021-05-11 20:57:47.417182
adspiro.pl,AVAILABILITY,origin.list,2021-05-11 20:57:55.282769
afi.adocean.pl,AVAILABILITY,origin.list,2021-05-11 20:58:02.643281
new.smartcontext.pl,AVAILABILITY,origin.list,2021-05-11 20:58:11.749748
openx.xenium.pl,AVAILABILITY,origin.list,2021-05-11 20:58:19.041499
panel.adtify.pl,AVAILABILITY,origin.list,2021-05-11 20:58:25.150722
spanel.gem.pl,AVAILABILITY,origin.list,2021-05-11 20:58:32.628095
c.allegrostatic.pl,AVAILABILITY,origin.list,2021-05-11 20:58:40.749347
gg.mob.vendimob.pl,AVAILABILITY,origin.list,2021-05-11 20:58:47.905486
openx.cda.pl,AVAILABILITY,origin.list,2021-05-11 20:58:54.126684
digital4ro.adocean.pl,AVAILABILITY,origin.list,2021-05-12 05:05:28.007151
banery.acr.pl,AVAILABILITY,origin.list,2021-05-12 08:56:57.875301
