idna_subject,checker_type,destination,source,tested_at,session_id
mediaregad.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.703510,3b740848b41abd6b940990a9
metagaua.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.707589,3b740848b41abd6b940990a9
mreg.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.711775,3b740848b41abd6b940990a9
negadbg.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.715871,3b740848b41abd6b940990a9
netsprint.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.719976,3b740848b41abd6b940990a9
neogenadro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.724368,3b740848b41abd6b940990a9
o2.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.728498,3b740848b41abd6b940990a9
o2adpl.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.732765,3b740848b41abd6b940990a9
oglasnikadhr.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.736925,3b740848b41abd6b940990a9
ohtulehtadee.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.741070,3b740848b41abd6b940990a9
olx.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.746071,3b740848b41abd6b940990a9
onet.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.750264,3b740848b41abd6b940990a9
opt.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.755169,3b740848b41abd6b940990a9
prefix.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.759438,3b740848b41abd6b940990a9
pracuj.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.763950,3b740848b41abd6b940990a9
pro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.768438,3b740848b41abd6b940990a9
rbcgaru.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.773053,3b740848b41abd6b940990a9
realitateadro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.777299,3b740848b41abd6b940990a9
ringieradrs.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.781789,3b740848b41abd6b940990a9
ringieradro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.786497,3b740848b41abd6b940990a9
ro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.790904,3b740848b41abd6b940990a9
ro1adro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.796163,3b740848b41abd6b940990a9
rp.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.800779,3b740848b41abd6b940990a9
scz.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.806025,3b740848b41abd6b940990a9
see.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.810636,3b740848b41abd6b940990a9
seznam.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.815286,3b740848b41abd6b940990a9
si.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.819737,3b740848b41abd6b940990a9
sk.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.824566,3b740848b41abd6b940990a9
slovakia.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.829186,3b740848b41abd6b940990a9
spir.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.833849,3b740848b41abd6b940990a9
spl.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.838366,3b740848b41abd6b940990a9
sportaladbg.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.843558,3b740848b41abd6b940990a9
st.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.848566,3b740848b41abd6b940990a9
st1.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.853243,3b740848b41abd6b940990a9
std1.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.857835,3b740848b41abd6b940990a9
str.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.862500,3b740848b41abd6b940990a9
stua.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.867852,3b740848b41abd6b940990a9
thinkdigitaladro.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.873028,3b740848b41abd6b940990a9
tr.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.878616,3b740848b41abd6b940990a9
tvn.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.883893,3b740848b41abd6b940990a9
ua.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.889011,3b740848b41abd6b940990a9
vbadbg.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.894789,3b740848b41abd6b940990a9
webgroundadbg.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.899724,3b740848b41abd6b940990a9
wp.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.904949,3b740848b41abd6b940990a9
wykop.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.909731,3b740848b41abd6b940990a9
24ratownik.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.914564,3b740848b41abd6b940990a9
gdeee.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.919338,3b740848b41abd6b940990a9
gdelt.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.924334,3b740848b41abd6b940990a9
ghmtr.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.929139,3b740848b41abd6b940990a9
go2.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.933988,3b740848b41abd6b940990a9
huiwiw.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.938869,3b740848b41abd6b940990a9
sec.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.945636,3b740848b41abd6b940990a9
ipla.hit.gemius.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.955735,3b740848b41abd6b940990a9
adsearch.adkontekst.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.961351,3b740848b41abd6b940990a9
rek.adtotal.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.967499,3b740848b41abd6b940990a9
ad.adview.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.972710,3b740848b41abd6b940990a9
adp.adview.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.978333,3b740848b41abd6b940990a9
bi.adview.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.983493,3b740848b41abd6b940990a9
adserwer.afilo.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.989279,3b740848b41abd6b940990a9
stats.asp24.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.994205,3b740848b41abd6b940990a9
ads.businessclick.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:54.999919,3b740848b41abd6b940990a9
crv.clickad.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.006446,3b740848b41abd6b940990a9
delivery.clickonometrics.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.011498,3b740848b41abd6b940990a9
static.clickonometrics.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.016998,3b740848b41abd6b940990a9
ads.comperia.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.022157,3b740848b41abd6b940990a9
ads.edipresse.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.027559,3b740848b41abd6b940990a9
ads2.ekologia.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.032869,3b740848b41abd6b940990a9
stat.ekologia.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.038988,3b740848b41abd6b940990a9
adserver.gadu-gadu.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.044247,3b740848b41abd6b940990a9
ad.gazeta.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.049894,3b740848b41abd6b940990a9
adp.gazeta.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.055131,3b740848b41abd6b940990a9
adv.gazeta.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.060791,3b740848b41abd6b940990a9
analytics.gazeta.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.066520,3b740848b41abd6b940990a9
www.adserver.home.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.072066,3b740848b41abd6b940990a9
ad.hosting.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.077608,3b740848b41abd6b940990a9
hub.com.pl,AVAILABILITY,origin.list,origin.list,2001-07-31 08:27:55.083020,3b740848b41abd6b940990a9
